age,soph,junior,senior,senior5,male,campus,business,engineer,colGPA,hsGPA,ACT,job19,job20,drive,bike,walk,voluntr,PC,greek,car,siblings,bgfriend,clubs,skipped,alcohol,gradMI,fathcoll,mothcoll
19,1,0,0,0,Yes,0,0,1,2.5,3.5,29,0,1,0,0,1,0,1,0,1,1,0,0,4,3,1,1,0
22,0,0,1,0,Yes,0,1,0,2.5,3,23,0,0,1,0,0,0,0,0,1,1,0,1,5,5,0,1,0
20,0,1,0,0,Yes,0,1,0,2.400000095,3,21,0,0,1,0,0,0,0,0,1,1,0,0,2,4,0,1,0
21,0,0,1,0,Yes,0,1,0,3.599999905,3.5,29,0,0,0,1,0,0,1,0,1,1,1,1,1,5,1,1,1
20,0,1,0,0,No,0,1,0,2.599999905,3.5,25,1,0,1,0,0,0,0,1,1,1,1,1,3,2,1,1,1
22,0,0,1,0,Yes,0,0,1,2.700000048,3,23,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,1
20,0,1,0,0,No,0,1,0,2.900000095,3.599999905,27,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,0
21,0,0,1,0,No,1,0,0,3,4,25,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0
20,0,1,0,0,Yes,0,1,0,3.299999952,3.599999905,33,0,0,0,1,0,1,0,1,0,1,1,0,2,5,1,1,0
20,0,1,0,0,No,0,1,0,3.099999905,3.299999952,24,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0
20,0,1,0,0,No,0,1,0,3,3.599999905,27,1,0,0,1,0,0,1,1,0,1,1,0,2,1,1,0,0
20,0,1,0,0,No,0,0,0,3.200000048,3.099999905,20,0,0,1,0,0,0,1,1,1,1,0,1,1,2,1,0,0
20,0,1,0,0,No,0,1,0,3,3.400000095,21,0,0,0,1,0,0,1,0,1,0,0,0,0,2,1,1,1
20,0,1,0,0,No,0,1,0,3.400000095,3.700000048,24,0,0,0,1,0,0,0,1,0,1,1,0,0.5,2,1,1,1
21,0,1,0,0,Yes,0,1,0,2.900000095,3.700000048,20,0,0,0,1,0,0,0,0,1,1,0,0,1,2,1,0,0
21,0,0,1,0,No,0,1,0,3.5,3.299999952,23,0,0,1,0,0,0,1,1,1,1,1,0,1,0,1,1,1
22,0,0,1,0,Yes,0,1,0,3.700000048,3.299999952,22,0,0,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0
20,0,0,1,0,No,0,1,0,3.5,3.5,24,1,0,0,0,1,0,1,0,1,1,0,1,0,1,1,1,1
21,0,0,1,0,Yes,0,1,0,2.799999952,3.200000048,28,0,1,0,1,0,0,0,0,1,1,1,1,1,3,1,1,1
21,0,0,1,0,No,1,1,0,2.5,3.299999952,25,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1
21,0,0,1,0,No,0,1,0,3.099999905,3.400000095,23,0,0,1,0,0,0,1,1,1,1,1,0,0.5,1,1,1,1
20,0,1,0,0,Yes,0,1,0,3.5,3.5,24,1,0,0,1,0,0,0,1,1,1,0,1,1,3,1,1,0
20,0,1,0,0,No,0,1,0,3.400000095,3.400000095,26,1,0,0,0,1,0,1,0,0,1,1,0,0.5,0,1,1,1
21,0,0,1,0,No,0,1,0,3.5,3.700000048,23,1,0,0,1,0,0,1,1,0,1,0,1,0,2,1,0,1
21,0,0,1,0,Yes,0,1,0,2.599999905,2.5,26,0,1,0,0,1,0,1,1,1,1,1,0,1,1,0,0,0
21,0,0,1,0,Yes,0,1,0,2.799999952,3.700000048,23,0,1,0,0,1,1,1,1,0,1,0,1,0,2,1,1,1
21,0,0,1,0,No,0,1,0,2.599999905,3,23,0,0,0,0,1,0,0,0,1,1,0,0,2,3,1,0,0
20,0,1,0,0,Yes,0,1,0,3.5,3,19,0,0,0,0,1,0,1,1,1,1,0,1,1,3,1,0,1
22,0,0,0,1,No,0,1,0,4,4,26,1,0,0,0,1,0,1,0,1,1,1,1,0,0.5,1,1,1
20,0,1,0,0,No,0,1,0,3.799999952,3.799999952,26,0,0,0,0,1,0,1,0,1,0,1,1,1,3,1,1,1
19,0,1,0,0,Yes,0,1,0,2.799999952,3,21,0,0,0,0,1,0,1,1,1,1,0,0,4,2,1,1,1
21,0,0,1,0,No,0,1,0,3.5,3.700000048,24,1,0,0,0,1,1,0,1,1,1,1,1,1,2,1,0,0
21,0,0,1,0,No,0,1,0,3,3.400000095,24,1,0,0,0,1,0,0,1,1,0,0,0,2,1,1,1,1
21,0,0,1,0,Yes,0,1,0,2.599999905,2.400000095,24,1,0,0,1,0,0,0,0,1,1,0,0,1,2,1,0,0
21,0,1,0,0,No,0,1,0,3,3.799999952,21,1,0,0,1,0,0,0,0,1,1,1,0,1,2,1,0,0
22,0,0,0,1,No,0,0,0,3.700000048,4,25,1,0,0,1,0,0,0,1,1,1,0,1,1,2,1,0,0
19,0,1,0,0,No,0,1,0,3,3.5,21,1,0,0,0,1,1,0,0,1,1,0,1,0,2,1,1,1
20,0,1,0,0,Yes,0,1,0,2.900000095,3.400000095,27,1,0,0,0,1,0,1,0,1,1,1,1,1,3,1,1,1
20,0,0,1,0,Yes,1,0,1,2.599999905,3.599999905,19,1,0,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0
22,0,0,0,1,Yes,0,1,0,3,3.200000048,27,0,0,1,0,0,0,0,0,1,1,0,0,2,5,1,1,1
21,0,0,1,0,Yes,0,1,0,3.299999952,3.799999952,28,1,0,0,1,0,0,0,0,0,1,0,1,0.5,1,1,0,1
22,0,1,0,0,Yes,0,1,0,2.700000048,3.299999952,24,0,0,0,1,0,0,0,1,1,1,1,1,2,3,1,1,0
21,0,0,1,0,Yes,0,0,0,3,3.400000095,27,1,0,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1
21,0,1,0,0,No,0,1,0,3.200000048,3,24,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1
20,0,1,0,0,Yes,0,1,0,2.700000048,3.599999905,27,0,0,0,0,1,0,0,0,0,1,0,1,1,3,1,0,1
21,0,0,1,0,No,1,1,0,3.599999905,3.900000095,26,1,0,0,0,1,0,1,0,0,1,0,0,1,2,1,1,0
21,0,0,1,0,No,0,1,0,2.400000095,3,19,0,0,1,0,0,0,0,1,1,1,0,1,2,3,1,0,1
21,0,0,1,0,No,0,1,0,2.900000095,3,24,0,0,0,1,0,0,0,0,1,1,1,0,1,2,1,0,0
21,0,0,1,0,No,1,0,0,3.299999952,3.299999952,26,1,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,0
20,0,1,0,0,Yes,0,1,0,3.5,3.299999952,28,0,0,0,0,1,1,1,0,1,1,0,1,0.5,1.5,1,1,1
21,0,0,1,0,Yes,0,0,0,3,3.200000048,22,0,0,0,0,1,0,0,0,1,1,0,1,2,3,1,1,1
21,0,0,1,0,Yes,0,1,0,3,3.400000095,27,0,1,0,1,0,1,0,1,1,1,0,1,0,2,1,1,1
21,0,0,1,0,No,0,0,1,2.799999952,3.700000048,26,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1
21,0,0,1,0,Yes,1,0,0,2.900000095,3.400000095,26,0,0,0,1,0,0,1,0,1,1,0,0,0,2,1,1,1
22,0,0,1,0,Yes,0,0,1,3.799999952,3.900000095,30,0,1,0,1,0,1,1,1,1,1,1,1,2,7,1,1,1
20,0,1,0,0,No,0,1,0,2.5,3.599999905,24,0,1,0,0,1,0,0,1,1,1,0,0,2,1,1,0,0
21,0,1,0,0,Yes,0,1,0,3,4,26,0,0,0,1,0,0,0,1,1,1,0,1,1,4,1,0,0
20,0,1,0,0,No,0,1,0,3.200000048,3.599999905,21,0,1,0,1,0,1,0,0,0,1,0,1,1,2,1,1,1
21,0,0,1,0,Yes,1,1,0,2.200000048,3,24,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,1
30,0,0,1,0,Yes,0,0,0,3.400000095,2.799999952,24,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0
22,0,1,0,0,Yes,1,1,0,2.900000095,3.200000048,23,0,0,0,0,1,0,0,0,1,1,0,0,0,3,1,1,0
22,0,0,1,0,Yes,0,1,0,3.700000048,2.900000095,26,0,0,0,1,0,0,1,1,1,1,0,1,1,5,1,1,0
20,0,1,0,0,Yes,1,1,0,2.900000095,2.900000095,24,1,0,0,1,0,1,0,1,1,1,1,1,1,0.5,0,1,1
23,0,0,0,1,Yes,1,0,0,2.799999952,3.599999905,24,1,0,0,0,1,0,0,0,0,1,1,1,0.5,1,0,1,1
22,0,0,0,1,Yes,0,0,0,3.200000048,3.400000095,27,0,0,0,0,1,0,0,0,0,1,0,1,1,2,1,1,0
21,0,0,1,0,No,0,1,0,3.400000095,3.599999905,23,0,0,1,0,0,0,0,1,1,1,1,1,0.5,2,0,1,1
22,0,0,0,1,No,0,0,0,3,3.200000048,31,1,0,1,0,0,1,1,1,1,0,1,1,2,1,1,0,1
22,0,0,1,0,No,0,1,0,2.5,3.200000048,24,1,0,0,0,1,0,0,0,0,1,1,1,2,1,1,0,1
21,0,0,1,0,No,0,1,0,3.5,3.200000048,16,0,0,1,0,0,0,1,1,1,0,0,0,1,3,1,0,1
21,0,0,1,0,Yes,0,1,0,3.099999905,3.700000048,27,0,0,0,1,0,1,0,1,1,1,0,1,1,4,0,1,1
21,0,0,1,0,Yes,0,1,0,2.799999952,2.900000095,22,1,0,0,1,0,0,0,0,1,1,1,0,0,7,1,1,1
21,0,0,1,0,No,0,1,0,2.900000095,3.299999952,23,0,1,0,0,1,0,0,0,1,1,0,1,1,2,1,0,0
21,0,0,1,0,Yes,1,1,0,2.900000095,3.099999905,24,0,0,0,0,1,0,0,0,1,1,0,1,2,3,1,1,0
19,0,1,0,0,No,0,1,0,3.400000095,3.5,24,0,0,0,1,0,1,0,0,1,1,1,1,0,1,1,0,0
20,0,1,0,0,Yes,1,1,0,3.400000095,3.5,23,0,1,0,0,1,0,1,0,1,1,1,1,0,1.5,1,1,1
22,0,0,1,0,Yes,0,1,0,3.599999905,3.700000048,23,0,1,1,0,0,0,0,0,1,1,1,0,3,3,1,0,0
26,0,0,1,0,No,0,1,0,3.200000048,3,23,0,0,1,0,0,1,1,0,1,1,1,0,0.25,0.5,1,1,0
20,0,1,0,0,No,0,0,0,3.200000048,3.799999952,25,0,0,1,0,0,0,1,0,1,1,1,1,1,2,0,1,1
21,0,0,1,0,No,0,1,0,2.799999952,3.299999952,21,0,0,1,0,0,0,1,0,1,1,1,1,0,0.5,0,1,1
20,0,1,0,0,No,0,0,0,3.099999905,3.599999905,22,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0
20,0,1,0,0,Yes,1,1,0,2.799999952,3.200000048,24,1,0,0,0,1,1,1,1,1,1,0,1,1,2,1,0,0
21,0,0,1,0,Yes,0,1,0,3.400000095,3.599999905,27,0,0,0,0,1,0,1,0,1,1,1,1,3,3,1,1,0
21,0,0,1,0,Yes,0,0,0,2.700000048,3.5,29,0,1,0,1,0,0,0,1,1,1,0,0,0,3,1,1,1
20,0,1,0,0,No,0,1,0,3,3.700000048,24,1,0,0,1,0,0,1,0,1,1,0,0,0,2,1,0,0
21,0,0,1,0,Yes,0,1,0,2.5,2.700000048,25,0,0,0,1,0,0,1,0,1,1,0,0,0.5,3,1,0,1
25,0,0,1,0,Yes,0,0,0,2.5,3.099999905,23,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0
21,0,0,1,0,No,0,1,0,2.700000048,3.400000095,22,0,0,0,1,0,1,0,0,1,1,1,1,1,2,1,1,0
20,0,1,0,0,Yes,0,1,0,3.599999905,3.299999952,24,0,0,0,0,1,0,1,0,0,1,0,1,0,3,1,1,1
20,0,1,0,0,No,0,1,0,2.900000095,3.400000095,23,1,0,0,0,1,0,1,0,1,1,0,1,1,0.5,1,1,1
21,0,0,1,0,No,0,1,0,2.799999952,3.5,26,0,0,0,0,1,1,1,1,1,1,1,0,1,2,1,1,1
22,0,0,1,0,Yes,0,0,0,3.900000095,3.900000095,26,1,0,0,1,0,0,1,0,1,1,0,0,0,0.5,1,0,0
20,0,1,0,0,Yes,0,1,0,2.799999952,3.5,22,0,0,0,1,0,0,0,0,1,1,1,1,2,2,1,0,0
21,0,0,1,0,No,0,1,0,3.900000095,4,26,1,0,0,0,1,1,1,0,1,1,0,1,0,2,1,1,1
21,0,1,0,0,Yes,0,1,0,3.200000048,2.900000095,28,1,0,0,1,0,1,0,1,1,1,1,1,1,2.5,1,1,0
22,0,0,1,0,Yes,0,1,0,3.299999952,3.299999952,24,0,0,0,1,0,0,0,1,1,1,1,0,2,4,0,1,1
20,0,1,0,0,Yes,0,1,0,3.299999952,3.5,24,0,0,0,1,0,0,0,0,0,1,0,1,2,2,1,0,0
21,0,0,1,0,No,1,1,0,3.200000048,3.5,23,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,0
22,0,0,0,1,Yes,1,0,0,3.099999905,3.099999905,16,0,1,0,0,1,1,1,0,1,1,1,1,0,0,1,1,0
20,0,1,0,0,Yes,0,1,0,3,3.099999905,21,1,0,0,0,1,0,1,1,0,1,0,0,1,0.5,1,0,1
20,0,1,0,0,Yes,0,1,0,3.400000095,3.700000048,30,1,0,1,0,0,0,0,1,1,1,0,0,5,3,1,0,0
20,0,1,0,0,Yes,0,1,0,3.099999905,3.299999952,23,1,0,0,1,0,0,0,1,0,1,1,1,2,1,1,1,1
21,0,0,1,0,No,0,1,0,3.200000048,3.700000048,23,1,0,0,0,1,1,0,0,0,1,0,1,2,0,1,0,0
20,0,0,1,0,Yes,0,1,0,3.299999952,3,23,1,0,0,0,1,0,1,0,1,1,1,0,0,3,1,1,1
21,0,0,1,0,No,0,0,0,3,3.799999952,22,1,0,1,0,0,0,0,0,1,1,1,0,1,3,1,1,1
21,0,0,1,0,No,0,1,0,2.799999952,3.5,22,0,0,0,1,0,0,0,1,0,1,0,0,1,2,1,1,1
21,0,0,1,0,Yes,0,0,0,2.799999952,3.599999905,25,1,0,1,0,0,0,0,1,1,1,1,0,3,0,1,0,0
20,0,1,0,0,Yes,0,1,0,2.700000048,3.5,27,1,0,0,1,0,0,0,0,1,1,0,0,4,3,1,0,0
21,0,0,1,0,No,1,0,0,2.599999905,3,19,0,1,0,0,1,1,0,0,1,0,1,1,1,0,1,0,1
19,0,1,0,0,Yes,0,1,0,2.900000095,3.799999952,23,1,0,1,0,0,0,0,0,0,1,0,1,1,2,0,1,1
20,0,1,0,0,No,0,1,0,3,3.5,26,1,0,0,0,1,0,0,0,0,1,1,0,2,1,1,0,1
22,0,0,0,1,No,0,1,0,3,3.599999905,22,0,0,0,1,0,1,0,1,1,0,0,1,0,2,1,1,1
22,0,0,1,0,No,0,0,0,2.900000095,3.799999952,24,0,1,0,0,1,0,0,0,0,1,1,1,2,1,0,0,0
20,0,1,0,0,No,0,1,0,3.299999952,3.599999905,26,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,1
21,0,0,1,0,No,0,1,0,2.700000048,3.299999952,23,0,0,0,0,1,0,1,0,1,1,1,1,1,3,1,0,0
20,0,1,0,0,Yes,0,1,0,3,3.200000048,21,1,0,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1
20,0,0,1,0,Yes,0,1,0,2.900000095,3.299999952,22,0,0,0,1,0,1,0,1,1,1,0,0,2,1,1,1,0
20,0,1,0,0,Yes,1,1,0,3.799999952,3.599999905,26,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1
20,0,1,0,0,Yes,1,1,0,2.900000095,3.799999952,30,0,0,0,0,1,0,1,0,1,1,0,1,0,1,1,1,0
22,0,0,1,0,Yes,0,1,0,3,3.299999952,22,1,0,0,1,0,0,1,0,1,1,0,1,0,3,1,1,0
21,0,0,1,0,Yes,0,1,0,3.200000048,3.200000048,19,0,0,0,0,1,0,0,1,0,1,1,0,0,3,1,0,0
22,0,0,0,1,No,0,1,0,3,3.299999952,23,0,1,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0
21,0,0,1,0,Yes,0,1,0,2.299999952,3.599999905,25,0,1,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0
20,0,1,0,0,No,0,1,0,2.799999952,3.400000095,21,0,1,0,1,0,0,0,0,1,1,1,0,0,0.300000012,1,0,0
20,0,1,0,0,Yes,1,1,0,3.400000095,3.700000048,26,0,0,0,0,1,0,0,1,1,1,1,1,3,4,1,0,1
21,0,0,1,0,Yes,0,0,0,2.799999952,3.299999952,28,1,0,0,1,0,0,0,0,0,1,1,1,3,2,1,1,1
